quality_rule,waveform,action_id,action_code,excluded_participant_code,B,W,W_over_B,continuous_n90,integer_n90,boundary_nodes
unaltered_nonzero_primary,racket,5,BD,23,74.4791098086,212.664969491,2.85536400795,25.6982760715,26,0
unaltered_nonzero_primary,racket,5,BD,24,73.3205369907,214.031678024,2.91912316533,26.2721084879,27,0
unaltered_nonzero_primary,racket,5,BD,25,74.5088046247,214.533801156,2.87930805275,25.9137724747,26,0
unaltered_nonzero_primary,racket,5,BD,26,74.4996945339,212.192336283,2.84823095732,25.6340786159,26,0
unaltered_nonzero_primary,racket,5,BD,27,74.4302317872,210.77463914,2.8318417675,25.4865759075,26,0
unaltered_nonzero_primary,racket,5,BD,28,72.7729342955,217.390768104,2.98724752833,26.885227755,27,0
unaltered_nonzero_primary,racket,5,BD,29,73.703063422,208.237121223,2.82535231991,25.4281708792,26,0
unaltered_nonzero_primary,racket,5,BD,30,69.8333621304,219.674770816,3.14569947823,28.3112953041,29,0
unaltered_nonzero_primary,racket,6,BP,1,16.1901834149,18.5604293095,1.14640018793,10.3176016914,11,0
unaltered_nonzero_primary,racket,6,BP,2,16.4741015307,18.2301868201,1.10659672615,9.95937053532,10,0
unaltered_nonzero_primary,racket,6,BP,3,16.7989781552,17.5676838065,1.04575907202,9.41183164821,10,0
unaltered_nonzero_primary,racket,6,BP,4,15.9416962897,18.4715019739,1.15869112284,10.4282201055,11,0
unaltered_nonzero_primary,racket,6,BP,5,16.2134582555,18.1702712747,1.12069066256,10.086215963,11,0
unaltered_nonzero_primary,racket,6,BP,6,16.3343190207,18.356779914,1.12381666421,10.1143499779,11,0
unaltered_nonzero_primary,racket,6,BP,7,16.2019645247,18.258820999,1.12695105406,10.1425594865,11,0
unaltered_nonzero_primary,racket,6,BP,8,15.1596216553,17.6918162385,1.16703547363,10.5033192627,11,0
unaltered_nonzero_primary,racket,6,BP,9,16.7785936435,18.3168101882,1.09167732275,9.82509590472,10,0
unaltered_nonzero_primary,racket,6,BP,10,16.6114261086,18.1121587907,1.09034339811,9.813090583,10,0
unaltered_nonzero_primary,racket,6,BP,11,16.4946168621,18.1678192076,1.10143929741,9.91295367667,10,0
unaltered_nonzero_primary,racket,6,BP,12,16.4937218199,18.5471712537,1.12449885212,10.1204896691,11,0
unaltered_nonzero_primary,racket,6,BP,13,16.714819577,17.9779152902,1.07556741533,9.68010673799,10,0
unaltered_nonzero_primary,racket,6,BP,14,16.8332130411,18.2109926384,1.08184887781,9.73663990027,10,0
unaltered_nonzero_primary,racket,6,BP,15,16.6357397285,17.3580275259,1.04341783469,9.39076051218,10,0
unaltered_nonzero_primary,racket,6,BP,16,16.4172507864,18.2055217448,1.10892633497,9.98033701475,10,0
