quality_rule,waveform,action_id,action_code,participant_code,integrated_within_SS,within_SS_share,integrated_squared_group_mean_deviation,between_distance_share
unaltered_nonzero_primary,racket,6,BP,24,654.346908601,0.0245200752154,8.67494275413,0.0178343795717
unaltered_nonzero_primary,racket,6,BP,25,319.063378734,0.0119561320489,4.79493624951,0.00985766886534
unaltered_nonzero_primary,racket,6,BP,26,2123.95430511,0.0795900746698,13.9274187019,0.0286326813471
unaltered_nonzero_primary,racket,6,BP,27,1263.42776309,0.0473439140204,28.9195275119,0.0594542056704
unaltered_nonzero_primary,racket,6,BP,28,1308.17848975,0.0490208397751,49.2502384079,0.101251094176
unaltered_nonzero_primary,racket,6,BP,29,939.757615702,0.0352151544057,9.19043227751,0.0188941486199
unaltered_nonzero_primary,racket,6,BP,30,332.940581906,0.0124761468317,15.23270353,0.031316150937
unaltered_nonzero_primary,body_configuration,1,FA,1,11.2330799995,0.0114895062913,0.458846012683,0.0135536888443
unaltered_nonzero_primary,body_configuration,1,FA,2,23.0103579979,0.0235356334143,0.954846455417,0.0282048691567
unaltered_nonzero_primary,body_configuration,1,FA,3,39.7123890085,0.0406189347334,1.36421842489,0.0402971618702
unaltered_nonzero_primary,body_configuration,1,FA,4,25.2315314408,0.0258075113184,1.49472234132,0.0441520705486
unaltered_nonzero_primary,body_configuration,1,FA,5,54.6520413028,0.0558996261406,7.42343788908,0.219278286228
unaltered_nonzero_primary,body_configuration,1,FA,6,9.39101284643,0.00960538883239,0.936553015251,0.0276645057471
unaltered_nonzero_primary,body_configuration,1,FA,7,19.123016782,0.0195595528239,0.600031819254,0.0177241260686
unaltered_nonzero_primary,body_configuration,1,FA,8,12.4747901505,0.0127595619298,0.543155901172,0.0160440885939
unaltered_nonzero_primary,body_configuration,1,FA,9,7.06199551027,0.00722320519821,0.930529047611,0.0274865659138
unaltered_nonzero_primary,body_configuration,1,FA,10,19.6067968146,0.0200543764811,2.51855658029,0.0743947452576
unaltered_nonzero_primary,body_configuration,1,FA,11,20.7506165622,0.0212243070957,0.511099072119,0.015097173345
unaltered_nonzero_primary,body_configuration,1,FA,12,43.2025175773,0.0441887351933,0.31085012868,0.00918209116978
unaltered_nonzero_primary,body_configuration,1,FA,13,26.7245676708,0.0273346302527,1.28381852573,0.037922257902
unaltered_nonzero_primary,body_configuration,1,FA,14,56.3031729654,0.0575884494754,0.172469928156,0.00509452774267
unaltered_nonzero_primary,body_configuration,1,FA,15,63.6352094105,0.0650878600439,0.302545903276,0.00893679561503
unaltered_nonzero_primary,body_configuration,1,FA,16,24.4308702709,0.0249885728306,0.753729951383,0.0222641604183
unaltered_nonzero_primary,body_configuration,1,FA,17,44.4125869114,0.0454264277254,1.75550116461,0.0518551232729
unaltered_nonzero_primary,body_configuration,1,FA,18,16.5537002316,0.0169315844776,0.412877686351,0.0121958468351
unaltered_nonzero_primary,body_configuration,1,FA,19,122.717871896,0.125519248618,1.1612969259,0.0343031360291
unaltered_nonzero_primary,body_configuration,1,FA,20,18.307574514,0.0187254958182,1.0725499867,0.0316816718199
unaltered_nonzero_primary,body_configuration,1,FA,21,30.65157825,0.03135128577,0.34932743728,0.0103186586759
unaltered_nonzero_primary,body_configuration,1,FA,22,35.1132408427,0.0359147982198,2.88836934938,0.0853185128493
unaltered_nonzero_primary,body_configuration,1,FA,23,19.279233381,0.0197193355012,0.131575292509,0.00388655567441
unaltered_nonzero_primary,body_configuration,1,FA,24,21.8332766113,0.0223316818714,0.197975569832,0.00584792980241
unaltered_nonzero_primary,body_configuration,1,FA,25,20.6174115213,0.0210880612792,0.899890593126,0.0265815475258
unaltered_nonzero_primary,body_configuration,1,FA,26,41.570182853,0.0425191378892,0.144569244269,0.00427037938461
unaltered_nonzero_primary,body_configuration,1,FA,27,73.3959758528,0.0750714431262,1.05196515464,0.0310736238018
unaltered_nonzero_primary,body_configuration,1,FA,28,42.6510667687,0.0436246959864,2.54007285578,0.0750303068513
unaltered_nonzero_primary,body_configuration,1,FA,29,24.7645915467,0.0253299122226,0.158514234084,0.00468229546902
unaltered_nonzero_primary,body_configuration,1,FA,30,9.26943872131,0.00948103943975,0.530061494665,0.0156572975867
unaltered_nonzero_primary,body_configuration,2,FD,1,17.5706952693,0.00423322100552,7.87228472023,0.0572274078561
unaltered_nonzero_primary,body_configuration,2,FD,2,129.342620612,0.0311618800561,1.26887577847,0.00922406572852
unaltered_nonzero_primary,body_configuration,2,FD,3,114.731736669,0.0276417518045,5.95615425674,0.0432981378365
unaltered_nonzero_primary,body_configuration,2,FD,4,836.744776451,0.201592794687,1.0792838577,0.00784583125641
unaltered_nonzero_primary,body_configuration,2,FD,5,108.544470674,0.0261510843054,3.13137756097,0.022763483182
unaltered_nonzero_primary,body_configuration,2,FD,6,80.4166045869,0.0193743761708,3.72675443109,0.0270915627911
unaltered_nonzero_primary,body_configuration,2,FD,7,96.6020811922,0.0232738632713,3.33011617537,0.0242082093508
unaltered_nonzero_primary,body_configuration,2,FD,8,73.989566427,0.0178259415457,2.16627127343,0.0157476633655
unaltered_nonzero_primary,body_configuration,2,FD,9,47.9867251003,0.0115612051525,1.31946793235,0.00959184432492
unaltered_nonzero_primary,body_configuration,2,FD,10,127.870514391,0.0308072127603,6.36507404939,0.0462707716507
unaltered_nonzero_primary,body_configuration,2,FD,11,270.707068811,0.0652201197773,10.2847930977,0.07476508666
unaltered_nonzero_primary,body_configuration,2,FD,12,190.574946023,0.045914282404,0.63002811919,0.00457997613388
unaltered_nonzero_primary,body_configuration,2,FD,13,225.634670611,0.0543610490403,5.68636631069,0.0413369200488
unaltered_nonzero_primary,body_configuration,2,FD,14,104.113516723,0.0250835564099,3.03598055265,0.0220699966406
unaltered_nonzero_primary,body_configuration,2,FD,15,191.799509473,0.0462093104402,2.13526530894,0.0155222661601
unaltered_nonzero_primary,body_configuration,2,FD,16,120.654124133,0.0290686034248,2.49767968359,0.0181568298184
unaltered_nonzero_primary,body_configuration,2,FD,17,103.148217879,0.0248509917175,3.01156004977,0.0218924723097
unaltered_nonzero_primary,body_configuration,2,FD,18,194.841968235,0.0469423150336,9.75607026559,0.0709215471752
unaltered_nonzero_primary,body_configuration,2,FD,19,144.069670865,0.0347099956842,8.25470312451,0.0600073903861
unaltered_nonzero_primary,body_configuration,2,FD,20,100.249828128,0.0241526969608,7.31100536747,0.0531471994309
unaltered_nonzero_primary,body_configuration,2,FD,21,127.645200981,0.030752929111,1.40347601141,0.010202539285
unaltered_nonzero_primary,body_configuration,2,FD,22,63.3428265714,0.01526087499,3.67984302409,0.0267505413067
unaltered_nonzero_primary,body_configuration,2,FD,23,111.509163362,0.0268653531017,6.43515343253,0.0467802122494
unaltered_nonzero_primary,body_configuration,2,FD,24,106.532130752,0.0256662611668,2.18156780883,0.0158588612072
unaltered_nonzero_primary,body_configuration,2,FD,25,61.9917259521,0.0149353609773,7.28544652929,0.0529613999954
unaltered_nonzero_primary,body_configuration,2,FD,26,106.009279462,0.0255402931824,3.4079809334,0.0247742455682
unaltered_nonzero_primary,body_configuration,2,FD,27,118.130042538,0.0284604888874,5.27641030536,0.0383567535084
unaltered_nonzero_primary,body_configuration,2,FD,28,84.9435786725,0.0204650377239,3.63139197587,0.0263983274328
unaltered_nonzero_primary,body_configuration,2,FD,29,68.53963053,0.0165129153527,7.59405707031,0.055204837819
unaltered_nonzero_primary,body_configuration,2,FD,30,22.4311809147,0.0054042338548,7.84700253199,0.0570436195216
unaltered_nonzero_primary,body_configuration,3,FP,1,15.40551751,0.0199667706639,1.65850306781,0.0396550377685
unaltered_nonzero_primary,body_configuration,3,FP,2,32.2012393801,0.0417353562696,0.258871794431,0.00618966041403
unaltered_nonzero_primary,body_configuration,3,FP,3,13.8723611255,0.0179796785782,0.154811725716,0.00370156977664
unaltered_nonzero_primary,body_configuration,3,FP,4,10.2808039679,0.0133247360847,0.897299851417,0.021454563569
unaltered_nonzero_primary,body_configuration,3,FP,5,12.0147290139,0.0155720402547,3.7845032215,0.0904879955284
unaltered_nonzero_primary,body_configuration,3,FP,6,27.4602923693,0.0355907135056,0.496635078052,0.0118746134147
unaltered_nonzero_primary,body_configuration,3,FP,7,7.0653688345,0.00915727751978,0.710246703034,0.0169820969165
unaltered_nonzero_primary,body_configuration,3,FP,8,16.7179675885,0.0216678098993,0.942319227185,0.022530983071
unaltered_nonzero_primary,body_configuration,3,FP,9,12.7965785068,0.0165853791126,0.335591420939,0.00802403729631
unaltered_nonzero_primary,body_configuration,3,FP,10,34.3255470269,0.044488627205,1.83088678361,0.0437767562588
unaltered_nonzero_primary,body_configuration,3,FP,11,39.1030042179,0.0506805900538,1.8580030181,0.0444251091763
unaltered_nonzero_primary,body_configuration,3,FP,12,16.2697086683,0.0210868308408,0.769713500486,0.0184039562695
unaltered_nonzero_primary,body_configuration,3,FP,13,27.8143755598,0.0360496333605,0.494695529228,0.011828238534
unaltered_nonzero_primary,body_configuration,3,FP,14,20.2706002696,0.0262723031889,0.575934606874,0.0137706761182
unaltered_nonzero_primary,body_configuration,3,FP,15,50.053006611,0.0648726602917,2.09069004686,0.0499886882212
unaltered_nonzero_primary,body_configuration,3,FP,16,23.9121560124,0.0309920478082,1.16917397679,0.0279551115144
unaltered_nonzero_primary,body_configuration,3,FP,17,79.4481325751,0.102971071357,0.475927504068,0.0113794924563
