curve_family,normalised_time_pct,component,display_rolling_11
racket,95.47738693467336,fixed-action contrast dispersion,0.4325077131061962
racket,95.97989949748742,fixed-action contrast dispersion,0.43030947451968093
racket,96.4824120603015,fixed-action contrast dispersion,0.42668045585543735
racket,96.98492462311556,fixed-action contrast dispersion,0.42215632144574583
racket,97.48743718592964,fixed-action contrast dispersion,0.41643164098004015
racket,97.98994974874373,fixed-action contrast dispersion,0.4139291897226248
racket,98.49246231155776,fixed-action contrast dispersion,0.41128060386991705
racket,98.99497487437183,fixed-action contrast dispersion,0.4094879367004183
racket,99.49748743718592,fixed-action contrast dispersion,0.40629601187173675
racket,100.0,fixed-action contrast dispersion,0.4026883072263954
racket,0.0,athlete,0.09819383800054254
racket,0.5025125628140703,athlete,0.09583795068076617
racket,1.0050251256281406,athlete,0.09334125776860229
racket,1.507537688442211,athlete,0.09000087271165264
racket,2.0100502512562812,athlete,0.08736512099552728
racket,2.5125628140703515,athlete,0.08476472401295033
racket,3.015075376884422,athlete,0.0799396356918572
racket,3.517587939698492,athlete,0.07482940070184546
racket,4.0201005025125625,athlete,0.06940657075322844
racket,4.522613065326633,athlete,0.06416711377230902
racket,5.025125628140703,athlete,0.05909991559968064
racket,5.527638190954773,athlete,0.054201691687716026
racket,6.030150753768844,athlete,0.04950059917302792
racket,6.532663316582914,athlete,0.045110908167604116
racket,7.035175879396984,athlete,0.04165563924357347
racket,7.537688442211055,athlete,0.03809634860663514
racket,8.040201005025125,athlete,0.03488706251446417
racket,8.542713567839195,athlete,0.03207046864124362
racket,9.045226130653266,athlete,0.029681440924520852
racket,9.547738693467336,athlete,0.027931650411855455
racket,10.050251256281406,athlete,0.026154461960842135
racket,10.552763819095476,athlete,0.023928657874008708
racket,11.055276381909549,athlete,0.0229427371248582
racket,11.557788944723615,athlete,0.022405772102608325
racket,12.060301507537687,athlete,0.02204255278725807
racket,12.562814070351758,athlete,0.0221220121351296
racket,13.065326633165828,athlete,0.022000039699403052
racket,13.567839195979898,athlete,0.022382214886846594
racket,14.070351758793969,athlete,0.0230036934419663
racket,14.57286432160804,athlete,0.023665740554460257
racket,15.07537688442211,athlete,0.024423665533369433
racket,15.57788944723618,athlete,0.02548291976768058
racket,16.08040201005025,athlete,0.02741879524871402
racket,16.58291457286432,athlete,0.02846591864959723
racket,17.08542713567839,athlete,0.029421354747617
racket,17.587939698492463,athlete,0.03051929832196187
racket,18.09045226130653,athlete,0.03145836256427795
racket,18.5929648241206,athlete,0.032796040325387604
racket,19.09547738693467,athlete,0.03378137628616452
racket,19.597989949748744,athlete,0.03449472266505546
racket,20.100502512562812,athlete,0.0333707299926544
racket,20.60301507537688,athlete,0.03414752261031161
racket,21.105527638190953,athlete,0.03482092356769678
racket,21.608040201005025,athlete,0.03534895760700199
racket,22.110552763819097,athlete,0.03574051414992651
