waveform,action_id,action_code,trials,R_L2_independence
racket,6,BP,33,0.9675639285763616
racket,6,BP,34,0.9684878680369668
racket,6,BP,35,0.9693606286097817
racket,6,BP,36,0.9701863480496598
racket,6,BP,37,0.9709687297730143
racket,6,BP,38,0.9717110983909076
racket,6,BP,39,0.9724164469342509
racket,6,BP,40,0.9730874771858652
racket,6,BP,41,0.9737266342653627
racket,6,BP,42,0.9743361364001273
racket,6,BP,43,0.9749180006463983
racket,6,BP,44,0.9754740651889556
racket,6,BP,45,0.976006008738856
racket,6,BP,46,0.9765153674604476
racket,6,BP,47,0.9770035497871837
racket,6,BP,48,0.9774718494271791
racket,6,BP,49,0.9779214568114125
racket,6,BP,50,0.9783534691978804
body_configuration,1,FA,1,0.6343985574073681
body_configuration,1,FA,2,0.7763082689129497
body_configuration,1,FA,3,0.838856705077181
body_configuration,1,FA,4,0.8740693071119107
body_configuration,1,FA,5,0.8966525217814694
body_configuration,1,FA,6,0.9123676714570016
body_configuration,1,FA,7,0.9239343165397389
body_configuration,1,FA,8,0.9328036095515813
body_configuration,1,FA,9,0.9398205594699809
body_configuration,1,FA,10,0.9455105892978966
body_configuration,1,FA,11,0.9502175707039368
body_configuration,1,FA,12,0.9541760039918303
body_configuration,1,FA,13,0.9575512983667515
body_configuration,1,FA,14,0.9604634717483144
body_configuration,1,FA,15,0.9630017213992825
body_configuration,1,FA,16,0.9652337205309709
body_configuration,1,FA,17,0.9672117413371505
body_configuration,1,FA,18,0.9689768003353558
body_configuration,1,FA,19,0.970561533189617
body_configuration,1,FA,20,0.9719922312415847
body_configuration,1,FA,21,0.9732903117170791
body_configuration,1,FA,22,0.9744733972025008
body_configuration,1,FA,23,0.9755561204021606
body_configuration,1,FA,24,0.9765507324240171
body_configuration,1,FA,25,0.9774675683663158
body_configuration,1,FA,26,0.9783154077910169
body_configuration,1,FA,27,0.979101756766075
body_configuration,1,FA,28,0.9798330706889287
body_configuration,1,FA,29,0.9805149319068671
body_configuration,1,FA,30,0.9811521924828758
body_configuration,1,FA,31,0.9817490898336917
body_configuration,1,FA,32,0.9823093410692973
body_configuration,1,FA,33,0.9828362204741807
body_configuration,1,FA,34,0.983332623543329
body_configuration,1,FA,35,0.9838011202184482
body_configuration,1,FA,36,0.9842439993912775
body_configuration,1,FA,37,0.9846633063008305
body_configuration,1,FA,38,0.9850608741140234
body_configuration,1,FA,39,0.9854383507184913
